Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type
1283;0;0;0;0;14;51;46;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;50;12,5;175;5,625;14;24,375;921;0,875;3;24,875;0;0;-45,6875;905,125;-1335,5625;530;1;1;0;0;0;0;4;989;1009;1005;983;432;526;443;438;478;464;5;322;521;8,125;4,375;0;0;0;6;-0,875;-1,625;44,125;-1;20,25;384;-5;1;100;-46;7
1290;0;0;0;0;14;51;51;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;51;12,3125;180;5,625;14;23,6875;921;0,9375;3;24,875;0;0;-45,4375;902,8125;-1338;528;1;1;0;0;0;0;4;989;1009;1005;984;430;522;444;438;479;465;5;321;514;8,125;4,375;0;0;0;6;-1;-0,875;44,125;-0,125;20,25;383;1;1;100;-45;7
1296;0;0;0;0;14;51;56;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;50;12,6875;182;5,625;14;24,8125;929;0,9375;3;24,875;0;0;-45,5625;904,0625;-1340,375;526;1;1;0;0;0;0;4;989;1009;1005;984;427;518;445;439;480;465;5;319;508;8,125;4,375;0;0;0;6;-1,125;-0,75;44,125;-0,125;20,75;384;-3;1;100;-46;7
1302;0;0;0;0;14;52;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;50;12,3125;179;5,625;14;25,125;922;0,9375;3;24,875;0;0;-45,4375;902,0625;-1348,125;524;1;1;0;0;0;0;4;988;1010;1004;984;425;515;445;439;481;466;5;317;501;8,125;4,375;0;0;0;6;-0,875;-0,375;44,125;-0,125;20,5;384;-21;1;100;-45;7
1308;0;0;0;0;14;52;6;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;50;13;183;5,625;14;22,8125;910;0,9375;3;24,875;0;0;-45,875;905;-1346,625;523;1;1;0;0;0;0;4;988;1013;1003;984;423;511;446;440;483;466;5;316;495;8,125;4,375;0;0;0;6;-0,625;-0,375;44,125;0;20,25;383;16;1;100;-46;7
1314;0;0;0;0;14;52;11;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;51;12,375;179;5,625;13,9375;22,8125;924;0,9375;3;24,875;0;0;-45,5;902,5625;-1356,4375;521;1;1;0;0;0;0;4;986;1013;1003;985;420;508;446;440;483;467;5;314;489;8,125;4,375;0;0;0;6;-0,75;-0,25;44,125;-0,125;20,25;384;5;1;100;-46;7
1320;0;0;0;0;14;52;16;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;50;12,125;186;5,625;13,9375;22,5;910;0,9375;3;24,875;0;0;-45,4375;903,0625;-1364,125;519;1;1;0;0;0;0;4;985;1013;1002;985;418;504;447;441;484;467;5;312;483;8,125;4,375;0;0;0;6;-0,875;-0,5;44,125;-0,125;20,25;383;-7;1;100;-45;7
1326;0;0;0;0;14;52;21;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;50;12,4375;182;5,625;13,9375;22,3125;914;0,9375;3;24,875;0;0;-45,5625;902,8125;-1368,5;518;1;1;0;0;0;0;4;984;1014;1001;985;416;501;447;441;485;468;5;311;477;8,125;4,375;0;0;0;6;-0,625;-0,625;44,125;-0,125;20;384;-4;1;100;-46;7
1332;0;0;0;0;14;52;26;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;49;12,375;182;5,625;14;22,1875;918;0;3;24,875;0;0;-45,6875;903,625;-1390,125;516;1;1;0;0;0;0;4;982;1015;996;985;414;498;447;442;485;468;5;310;472;8,125;4,375;0;0;0;6;-0,875;-0,625;44,125;-0,125;20;384;40;1;100;-46;7
1338;0;0;0;0;14;52;31;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;49;12;183;5,625;14;24,875;923;0;3;24,875;0;0;-45,4375;902,1875;-1378,625;515;1;1;0;0;0;0;4;982;1015;990;985;412;495;448;442;486;468;5;308;466;8,125;4,375;0;0;0;6;-0,5;-0,25;44,125;-0,125;20;384;-10;1;100;-45;7
