Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type.1;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type.2;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type.3;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type.4;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type.5;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type.6
4163;0;0;0;0;12;58;42;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;230;5,625;0;-2,875;0;0;3;21,1875;0;0;-45,5625;904,1875;1682,375;346;1;1;0;0;0;0;4;417;450;421;467;362;281;394;396;437;436;5;1134;1416;8,6875;4,6875;0;0;0;6;-0,625;-1;47,75;-0,125;22,75;392;-6;1;100;-46;7
4170;0;0;0;0;12;58;46;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;230;5,625;0;-3,875;0;0;3;21,1875;0;0;-45,5625;904,125;1673,8125;347;1;1;0;0;0;0;4;413;445;417;462;370;282;393;395;437;436;5;1156;1416;8,6875;4,6875;0;0;0;6;-0,75;-0,875;47,625;-0,125;23,25;392;-14;1;100;-46;7
4177;0;0;0;0;12;58;51;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;230;5,625;0;-0,6875;0;0;3;21,1875;0;0;-45,4375;902,75;1662,75;349;1;1;0;0;0;0;4;407;440;411;456;380;283;393;395;436;435;5;1181;1416;8,6875;4,6875;0;0;0;6;-0,375;-1;47,625;-0,125;23;392;-4;1;100;-45;7
4184;0;0;0;0;12;58;55;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;230;5,625;0;-3,625;0;0;3;21,1875;0;0;-45,8125;904,375;1655,875;350;1;1;0;0;0;0;4;403;434;407;451;388;283;393;394;435;435;5;1198;1416;8,6875;4,6875;0;0;0;6;-0,5;-1;47,625;-0,125;22,5;392;0;1;100;-46;7
4190;0;0;0;0;12;59;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;230;5,625;0;-3,75;0;0;3;21,1875;0;0;-45,4375;902,1875;1644,3125;352;1;1;0;0;0;0;4;397;429;402;445;398;284;392;394;435;434;5;1217;1416;8,6875;4,6875;0;0;0;6;-0,25;-0,875;47,625;-0,125;22,5;392;3;1;100;-45;7
4196;0;0;0;0;12;59;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;230;5,625;0;-3,5625;0;0;3;21,1875;0;0;-45,6875;904,5625;1635,125;353;1;1;0;0;0;0;4;392;423;396;440;408;285;391;393;434;433;5;1234;1416;8,6875;4,6875;0;0;0;6;-0,625;-0,875;47,75;-0,125;22,75;392;-4;1;100;-46;7
4203;0;0;0;0;12;59;7;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;230;5,625;0;-1,6875;0;0;3;21,1875;0;0;-45,3125;902,125;1630,8125;354;1;1;0;0;0;0;4;390;421;394;437;413;285;391;393;434;433;5;1240;1416;8,6875;4,6875;0;0;0;6;-0,375;-0,875;47,75;-0,125;22,75;392;4;1;100;-45;7
4210;0;0;0;0;12;59;9;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;230;5,625;0;-3,25;0;0;3;21,1875;0;0;-45,75;904,375;1629;355;1;1;0;0;0;0;4;388;419;392;435;417;286;391;393;433;433;5;1245;1416;8,6875;4,6875;0;0;0;6;-0,375;-0,875;47,75;-0,125;22,75;392;8;1;100;-46;7
4217;0;0;0;0;12;59;14;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;229;5,625;0;0,125;0;0;3;21,1875;0;0;-45,5625;903,9375;1618,8125;356;1;1;0;0;0;0;4;383;413;387;430;426;287;390;392;433;432;5;1258;1416;8,6875;4,6875;0;0;0;6;-0,375;-0,875;47,75;-0,125;22,75;392;10;1;100;-46;7
4223;0;0;0;0;12;59;19;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;229;5,625;0;-0,625;0;0;3;21,1875;0;0;-45,4375;903,25;1610,0625;357;1;1;0;0;0;0;4;378;408;382;424;436;288;390;392;432;431;5;1268;1416;8,6875;4,6875;0;0;0;6;-0,5;-0,875;47,625;-0,125;22,75;392;10;1;100;-45;7
4229;0;0;0;0;12;59;24;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;229;5,625;0;-2,75;0;0;3;21,1875;0;0;-45,5;903,6875;1600,4375;359;1;1;0;0;0;0;4;373;404;378;419;445;289;390;391;431;430;5;1277;1416;8,6875;4,6875;0;0;0;6;-0,25;-0,75;47,75;-0,125;22,5;392;0;1;100;-46;7
4235;0;0;0;0;12;59;29;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;228;5,625;0;2,5;0;0;3;21,1875;0;0;-45,5625;903,875;1591,9375;360;1;1;0;0;0;0;4;369;398;373;414;455;290;389;391;430;430;5;1285;1416;8,6875;4,6875;0;0;0;6;-0,25;-0,75;47,875;-0,125;22,5;392;-11;1;100;-46;7
4242;0;0;0;0;12;59;33;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;228;5,625;0;-3,6875;0;0;3;21,1875;0;0;-45,3125;903,25;1585,625;361;1;1;0;0;0;0;4;365;395;370;411;462;291;388;390;430;429;5;1290;1416;8,6875;4,6875;0;0;0;6;-0,625;-1;47,875;-0,125;22,5;392;19;1;100;-45;7
4248;0;0;0;0;12;59;38;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;228;5,625;0;-3,5625;0;0;3;21,1875;0;0;-45,5625;902,625;1576,0625;362;1;1;0;0;0;0;4;361;390;366;406;471;292;388;390;429;428;5;1295;1416;8,6875;4,6875;0;0;0;6;-0,5;-1;47,75;-0,125;22;392;-9;1;100;-46;7
4255;0;0;0;0;12;59;39;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;228;5,625;0;-0,5;0;0;3;21,1875;0;0;-45,5;902,4375;1574,75;363;1;1;0;0;0;0;4;360;389;365;405;472;292;388;389;429;428;5;1295;1416;8,6875;4,6875;0;0;0;6;-0,375;-1;47,75;-0,125;22;392;-6;1;100;-45;7
4261;0;0;0;0;12;59;44;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;228;5,625;0;1,875;0;0;3;21,1875;0;0;-45,75;905,5625;1565,4375;364;1;1;0;0;0;0;4;356;384;360;400;481;294;387;389;428;428;5;1299;1416;8,6875;4,6875;0;0;0;6;-0,25;-1,375;47,875;-0,125;22,25;392;-18;1;100;-46;7
4267;0;0;0;0;12;59;49;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;228;5,625;0;0,75;0;0;3;21,1875;0;0;-45,75;905,5625;1558,125;365;1;1;0;0;0;0;4;352;380;356;396;489;295;387;388;428;427;5;1301;1416;8,6875;4,6875;0;0;0;6;0;-1,125;48;-0,25;21,75;392;21;1;100;-46;7
4273;0;0;0;0;12;59;54;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;228;5,625;0;-0,6875;0;0;3;21,1875;0;0;-45,6875;905,1875;1548,625;366;1;1;0;0;0;0;4;348;376;352;391;497;296;386;388;427;426;5;1303;1416;8,6875;4,6875;0;0;0;6;-0,125;-1,125;48;-0,125;22;392;12;1;100;-46;7
4280;0;0;0;0;12;59;59;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;228;5,625;0;-4,0625;0;0;3;21,1875;0;0;-45,4375;902,125;1541,6875;367;1;1;0;0;0;0;4;344;372;348;387;505;297;385;387;426;425;5;1303;1416;8,6875;4,6875;0;0;0;6;-0,25;-1,125;48,125;-0,125;22,25;392;-2;1;100;-45;7
4286;0;0;0;0;13;0;4;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;227;5,625;0;-3,5625;0;0;3;21,1875;0;0;-45,375;903,625;1533,25;369;1;1;0;0;0;0;4;341;368;345;383;512;299;385;387;425;425;5;1303;1416;8,6875;4,6875;0;0;0;6;0,125;-1;48;-0,125;21,5;392;23;1;100;-45;7
4293;0;0;0;0;13;0;9;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;227;5,625;0;1,9375;0;0;3;21,1875;0;0;-45,8125;904,625;1526,4375;370;1;1;0;0;0;0;4;337;364;341;379;519;300;384;386;425;424;5;1303;1416;8,6875;4,6875;0;0;0;6;0;-1,125;48;-0,125;22,25;392;8;1;100;-46;7
4300;0;0;0;0;13;0;12;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;227;5,625;0;-5,125;0;0;3;21,1875;0;0;-45,5625;903,875;1522,3125;370;1;1;0;0;0;0;4;335;362;338;376;523;301;384;386;424;424;5;1303;1416;8,6875;4,6875;0;0;0;6;0,125;-1,125;47,875;-0,125;21,5;392;11;1;100;-46;7
4307;0;0;0;0;13;0;17;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;227;5,625;0;-0,5;0;0;3;21,1875;0;0;-45,4375;902,0625;1514,8125;371;1;1;0;0;0;0;4;331;358;334;372;530;303;383;385;423;423;5;1302;1416;8,6875;4,6875;0;0;0;6;0,25;-1,125;48,125;-0,125;21,5;392;24;1;100;-45;7
4314;0;0;0;0;13;0;19;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;227;5,625;0;-4,125;0;0;3;21,1875;0;0;-45,6875;904,6875;1513,0625;372;1;1;0;0;0;0;4;329;357;333;371;533;303;383;385;423;422;5;1301;1416;8,6875;4,6875;0;0;0;6;0,25;-1,25;48;-0,125;21,5;392;23;1;100;-46;7
4321;0;0;0;0;13;0;24;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;227;5,625;0;-1,5;0;0;3;21,1875;0;0;-45,5;902,5;1505,1875;373;1;1;0;0;0;0;4;326;353;328;367;539;304;382;384;422;422;5;1298;1416;8,6875;4,6875;0;0;0;6;0,125;-1,125;48;-0,125;21,75;392;22;1;100;-46;7
